user_id,posted,recommend
76561197970982479,2011-11-05,True
76561197970982479,2011-07-15,True
76561197970982479,2011-04-21,True
js41637,2014-06-24,True
js41637,2013-09-08,True
js41637,2013-11-29,True
evcentric,,True
evcentric,2015-12-04,True
evcentric,2014-11-03,True
evcentric,2014-10-15,True
evcentric,2014-10-15,True
evcentric,2014-10-15,True
doctr,2013-10-14,True
doctr,2012-07-28,True
doctr,2012-06-02,True
doctr,2014-06-29,True
doctr,2012-11-22,True
doctr,2012-02-23,True
maplemage,2014-04-15,True
maplemage,2013-12-23,True
maplemage,2014-03-14,True
maplemage,2013-07-11,True
Wackky,2014-05-05,True
Wackky,2012-12-24,True
Wackky,2012-10-21,True
Wackky,2012-03-20,True
Wackky,2012-03-09,True
76561198079601835,,True
MeaTCompany,,True
76561198089393905,2015-02-01,True
76561198089393905,2014-06-20,True
76561198156664158,,True
76561198077246154,,True
76561198077246154,2014-08-25,True
WeiEDKrSat,2013-12-25,True
thequeenpanda,2012-06-23,True
death-hunter,2015-09-05,True
death-hunter,2015-03-30,True
death-hunter,2014-02-19,True
DJKamBer,2014-07-14,True
DJKamBer,2013-04-27,True
DJKamBer,2015-07-20,True
DJKamBer,2013-11-04,True
DJKamBer,2013-07-12,True
DJKamBer,2012-08-19,True
Rainbow-Dashie,2015-06-19,True
Rainbow-Dashie,2014-09-20,True
Rainbow-Dashie,2014-09-07,True
76561198043472122,2014-12-19,False
MarbleShrine,2015-02-17,True
PPanther,2014-06-07,True
devvonst,2014-02-12,True
devvonst,2014-02-09,True
devvonst,2015-10-31,True
Fr0stedLine,,True
starkillershadow553,2015-02-04,True
starkillershadow553,,True
starkillershadow553,2014-04-05,True
76561198058373434,2015-01-08,True
76561198048353577,2015-10-26,True
76561198048353577,,True
76561198048353577,2013-03-20,True
76561198066046412,2015-12-28,False
76561198066046412,2015-05-19,True
tru_mu_,2015-12-15,True
76561198070565427,,True
76561198070565427,2015-08-21,True
76561198070565427,2014-10-17,True
76561198070565427,2014-06-27,False
76561198070565427,2014-04-28,True
SavageEeEe,2015-11-12,True
76561198076909484,2014-06-18,True
KanadeTheNeko,2014-11-20,True
KanadeTheNeko,2014-05-29,True
Leaf_Light_Moscow,,True
GoAwayZach,2014-12-29,True
76561198054540475,2015-02-13,True
76561198054540475,2014-12-26,True
76561198054540475,2014-02-04,True
76561198085547365,,True
76561198085547365,,True
76561198061252210,2015-05-21,True
OfficialShroomsy,2013-12-06,True
boydeer,2014-05-12,True
boydeer,2015-08-24,False
VVillis,2015-01-06,True
76561198083226897,2015-12-22,True
76561198075277292,2015-06-23,True
76561198075277292,2015-09-11,True
76561198028895010,2013-04-22,True
76561198028895010,2012-05-27,True
76561198170198366,,True
diego9031,,True
diego9031,,True
diego9031,2015-12-05,True
diego9031,2015-10-04,True
diego9031,2015-10-03,True
diego9031,2015-08-13,True
diego9031,2015-02-22,True
diego9031,2015-01-14,True
diego9031,2013-12-14,True
diego9031,2013-12-01,True
jarrodtrim,2012-02-11,True
76561198078738103,,True
76561198067936203,2015-03-12,True
76561198079770573,2015-10-14,True
76561198087586464,2013-10-27,True
Derp-e,2015-11-27,True
76561198070194565,2014-10-09,True
76561198070194565,,True
76561198070194565,,True
76561198070194565,,True
76561198070194565,,True
76561198070194565,,True
76561198070194565,2015-11-09,True
