user_id,total_spent,items_count,recommend_total,percent_recommend
--000--,402.77000000000004,58,1.0,1.72
--ace--,166.82,44,2.0,4.55
--ionex--,109.92,23,2.0,8.7
-2SV-vuLB-Kg,437.49,68,5.0,7.35
-404PageNotFound-,1514.31,149,0.0,0.0
-AnimeIsMyThing-,1199.43,127,0.0,0.0
-Azsael-,2461.68,167,1.0,0.6
-Beave-,54.95,47,1.0,2.13
-Encore-,287.78,24,0.0,0.0
-GM-Dragon,822.47,106,1.0,0.94
-I_AM_EPIC-,129.94,20,1.0,5.0
-JT,229.85999999999999,26,0.0,0.0
-Kenny,1563.12,118,1.0,0.85
-KillZone-,1225.28,114,0.0,0.0
-Mad-,3680.18,367,2.0,0.54
-Naughty-,482.75,62,0.0,0.0
-PRoSlayeR-,2540.33,529,1.0,0.19
-SEVEN-,3641.04,394,7.0,1.78
-SatansLittleHelper-,323.78000000000003,28,1.0,3.57
-Thyme-,519.68,43,1.0,2.33
-Ultrix,1467.68,131,1.0,0.76
-Uplink-,1516.1699999999998,123,0.0,0.0
-Zovix-,224.87,51,1.0,1.96
-_PussyDestroyer_-,360.68,51,3.0,5.88
-_skIzZ_-,374.81,40,0.0,0.0
-fastrvrs-,195.89,18,0.0,0.0
-iBubble,127.88,15,0.0,0.0
-kainey9777,1027.53,69,1.0,1.45
-xKyox-,195.85,49,0.0,0.0
0-3-0,1639.9399999999998,139,2.0,1.44
00000000000000000001227,1072.28,93,6.0,6.45
00000003010,331.7,59,0.0,0.0
0000FF,144.91,25,0.0,0.0
000Infinity000,109.97,30,0.0,0.0
001000111000111000010,753.4,71,1.0,1.41
001002130882,14.99,3,0.0,0.0
001010001,325.81,48,0.0,0.0
0041287,144.92,34,0.0,0.0
00454211432342,137.88,24,1.0,4.17
005577,2926.25,231,0.0,0.0
00690069006900,801.35,102,1.0,0.98
0071945,4970.8,373,0.0,0.0
007Pro,0.0,1,0.0,0.0
007james_bond,2128.6,178,0.0,0.0
007thesilence,596.67,49,0.0,0.0
00810cccyyykkk,19.98,7,1.0,14.29
008port,418.67,71,0.0,0.0
0099654321891111,188.86,23,1.0,4.35
00True,302.86,28,2.0,7.14
00nana,29.98,9,0.0,0.0
01001000-01101001,1338.21,88,4.0,4.55
010195345,0.0,2,0.0,0.0
0102705195,0.0,3,0.0,0.0
010607,220.79999999999998,28,0.0,0.0
011000100001000111,851.31,76,0.0,0.0
011011010111001000101110,101.88,26,1.0,3.85
011111135489484797,29.98,5,2.0,40.0
01120477677,233.88,29,0.0,0.0
0112937783,434.8,31,0.0,0.0
01189958889189157253,1869.74,159,5.0,3.14
0118999881999119,1314.94,139,0.0,0.0
01221733,563.6,125,2.0,1.6
0136849195,133.91,62,1.0,1.61
01398279857934,14.99,11,0.0,0.0
018302,507.66999999999996,42,0.0,0.0
01shan,24.98,5,1.0,20.0
0212030,104.94999999999999,7,0.0,0.0
022899,1163.38,80,3.0,3.75
0248359,223.88,10,0.0,0.0
025652,0.0,3,0.0,0.0
0271975108,694.67,62,0.0,0.0
0305089,587.55,97,0.0,0.0
03092002,255.89,24,1.0,4.17
03375616256,9.99,2,0.0,0.0
0402593613,19.98,6,0.0,0.0
04061993,1019.3,214,5.0,2.34
04092013,622.0799999999999,128,1.0,0.78
041112016,1379.26,98,0.0,0.0
0412734634,59.96,20,1.0,5.0
0412827540,149.9,27,0.0,0.0
042153100,1547.21,118,1.0,0.85
0421874858,342.78999999999996,31,0.0,0.0
04280122,1265.1499999999999,113,1.0,0.88
0432-026-no,79.93,14,1.0,7.14
04536829290339393838,130.89,28,0.0,0.0
0468313256,99.88,86,1.0,1.16
0488456,249.86,22,0.0,0.0
05041129,138.89,35,2.0,5.71
05461025,560.59,53,1.0,1.89
05511301,1582.72,159,0.0,0.0
05zhehan,89.94999999999999,16,0.0,0.0
066600,468.8,72,0.0,0.0
0700464574757,383.71999999999997,48,1.0,2.08
07846813956825,1156.31,92,0.0,0.0
0800135723,0.0,1,0.0,0.0
0814551,176.88,48,0.0,0.0
0827777,0.99,11,0.0,0.0
0833422708,0.0,1,0.0,0.0
0854029092,19.99,5,1.0,20.0
0862770364,148.92000000000002,23,0.0,0.0
0896398616,1124.68,184,2.0,1.09
0898786879898,69.96,7,0.0,0.0
08alross,4160.64,313,0.0,0.0
0903512455,199.85,41,2.0,4.88
09106,1212.07,176,4.0,2.27
091263,3098.59,369,9.0,2.44
092688110,0.0,1,0.0,0.0
092982943,94.92999999999999,28,0.0,0.0
0935659130,471.75,59,0.0,0.0
094553552,694.54,89,2.0,2.25
095732,179.86,30,2.0,6.67
095843067,2705.57,239,1.0,0.42
098765432108642,179.91,12,0.0,0.0
09876543231,215.82999999999998,25,1.0,4.0
098766catdogbnmnnn,227.84,42,3.0,7.14
09895749373554,345.74,33,0.0,0.0
0996633,606.69,56,0.0,0.0
0FI3MWAJS2849023N,336.77,36,0.0,0.0
0fficiaIfIaw,38.97,23,0.0,0.0
0nlyb0nes,224.91,22,0.0,0.0
0rangeZ3r0,143.88,29,0.0,0.0
0x0B00B135,505.61,59,0.0,0.0
0x426F,1733.82,149,0.0,0.0
1-800-Invisible,5846.98,536,0.0,0.0
10000000thVisitor,1105.18,106,1.0,0.94
1000000sdsd,59.96,22,0.0,0.0
100002077293140,0.0,1,0.0,0.0
100011101011,347.84,31,0.0,0.0
1000jaus,642.64,50,0.0,0.0
1001101001110101,3403.6,286,0.0,0.0
100355,524.66,50,0.0,0.0
10051997,1254.16,130,7.0,5.38
10101010101010109,3769.07,307,1.0,0.33
101010101111,382.8,42,1.0,2.38
101010102,70.93,8,0.0,0.0
1010102,223.85,45,0.0,0.0
101013483181348,14.99,7,0.0,0.0
1010231464,44.97,9,0.0,0.0
1011001,1228.16,128,9.0,7.03
1011010101101101010101,644.52,52,0.0,0.0
1011012001,49.96,14,0.0,0.0
101316,254.84,21,0.0,0.0
1016523030,0.0,6,1.0,16.67
101676057,270.86,29,0.0,0.0
10197226,276.73,36,1.0,2.78
101thegreenguy,1277.59,98,0.0,0.0
102547508,24.979999999999997,13,0.0,0.0
102598615,166.85,45,1.0,2.22
1032165460,64.95,7,0.0,0.0
1052218979baidu,242.85999999999999,21,0.0,0.0
10817,339.79,38,0.0,0.0
109284293753647,1842.8999999999999,150,0.0,0.0
10936543792,1038.24,109,2.0,1.83
10948278193,69.96,31,0.0,0.0
109654,0.0,1,0.0,0.0
109leonidas,1841.86,178,0.0,0.0
10Degree,1323.04,150,5.0,3.33
10gp,169.89,21,0.0,0.0
10outof10matee,604.62,56,0.0,0.0
10oyard,209.88,20,1.0,5.0
11010011011,1617.99,140,0.0,0.0
1101167413,533.65,42,0.0,0.0
110211021,488.62,73,1.0,1.37
110321565469,822.98,76,0.0,0.0
1103703132946,727.54,65,1.0,1.54
111190869,803.55,62,1.0,1.61
111222333222111,279.82,28,0.0,0.0
111222333444555666888,580.68,52,6.0,11.54
11123xxx3122,59.95,10,0.0,0.0
11124,445.7,44,0.0,0.0
11141995,571.57,47,0.0,0.0
111s,2286.21,242,0.0,0.0
111zerosen,419.52,65,1.0,1.54
1122305938,2394.74,177,3.0,1.69
112asdasfasdasd,0.0,23,1.0,4.35
11345678,252.85,34,0.0,0.0
113595,1064.3999999999999,76,3.0,3.95
1136579070,686.5899999999999,82,1.0,1.22
11464789,306.78000000000003,37,0.0,0.0
11567jj,466.74,102,1.0,0.98
1163321,361.81,56,0.0,0.0
117007,129.92,15,0.0,0.0
117331,346.74,67,1.0,1.49
117a2,119.92999999999999,11,0.0,0.0
117arbiter,1665.48,166,6.0,3.61
11925219096,727.6,70,1.0,1.43
119922883377446655123456789,268.81,60,0.0,0.0
11XGX,2705.2999999999997,215,1.0,0.47
12021988,0.0,3,0.0,0.0
120445,935.77,120,1.0,0.83
120488700,264.92,21,1.0,4.76
12110604,194.89,16,0.0,0.0
1212343456567878909,340.82,33,2.0,6.06
12123871234989120,147.88,33,0.0,0.0
12125,1352.1599999999999,126,2.0,1.59
1214551565454556,0.0,4,0.0,0.0
121478,1634.18,129,0.0,0.0
121598558,0.0,9,0.0,0.0
12223536,2115.87,177,1.0,0.56
122249_700b,318.74,38,0.0,0.0
122799,54.97,17,0.0,0.0
123123123131231231,295.87,43,1.0,2.33
12312312332123,210.85,31,3.0,9.68
12312341244123,524.76,50,0.0,0.0
1231343263534243534,540.65,48,0.0,0.0
123232343432555686888554456555,628.66,65,1.0,1.54
1232999,732.67,64,0.0,0.0
12332165478953761,763.51,59,2.0,3.39
1233451231252123,204.91000000000003,77,0.0,0.0
1233zaazen,390.8,33,0.0,0.0
12341008,14.99,3,0.0,0.0
12341846,301.77,28,1.0,3.57
1234321115,524.68,46,0.0,0.0
1234455565,19.99,2,0.0,0.0
12345123456,312.82,33,0.0,0.0
1234567124567,444.75,38,0.0,0.0
12345676543456789098543,442.7,73,2.0,2.74
1234567810132,144.85,48,1.0,2.08
123456787654329,1587.91,131,0.0,0.0
12345678901234567890123456567890,2874.36,206,6.0,2.91
1234567890192837465,865.51,98,3.0,3.06
1234567890qweccrtht,377.78999999999996,41,0.0,0.0
1234567890qwertyuiop,34.98,4,0.0,0.0
12345678910123,4.99,2,0.0,0.0
12345678910a,1168.3899999999999,81,1.0,1.23
1234567898354127873,44.95,10,0.0,0.0
123456789874561232145678,2852.08,269,1.0,0.37
123456789_Kappa,410.25,37,0.0,0.0
123456789diamond987654321,705.53,71,1.0,1.41
1234567io9872345678765432,1361.07,155,7.0,4.52
12345gh,204.92000000000002,17,0.0,0.0
1234865654,463.64,76,1.0,1.32
1234derpaa,434.72999999999996,44,0.0,0.0
12391939123,839.89,124,2.0,1.61
12398uf8jg21390,312.77,35,1.0,2.86
12399017,160.82999999999998,25,0.0,0.0
123abc321,0.0,2,0.0,0.0
123abccba,1035.4,91,0.0,0.0
123amazing123,320.84,48,0.0,0.0
123curssin123,409.81,52,0.0,0.0
123franz789,54.97,15,0.0,0.0
123joshua321,945.29,87,1.0,1.15
123repulseMe,1097.24,137,3.0,2.19
123sharpshooter123,0.0,2,0.0,0.0
1242163634531636,9.98,2,0.0,0.0
12435674325tyughnb,480.71999999999997,43,0.0,0.0
12435gg,487.68,107,0.0,0.0
124653tf,129.97,8,0.0,0.0
124681,19.99,3,0.0,0.0
1249012512908890112890,750.0699999999999,75,0.0,0.0
124c7937,0.0,2,0.0,0.0
12524,298.8,81,0.0,0.0
12536475869trhgsdf,559.46,99,6.0,6.06
12549,228.87,64,0.0,0.0
12779,797.47,105,4.0,3.81
128463821947,69.97,10,0.0,0.0
12874175635ELITE,4.99,2,0.0,0.0
128bitbit,144.9,81,0.0,0.0
1294120970512,515.67,49,0.0,0.0
129874182,1775.6599999999999,155,2.0,1.29
12DeAgostoAs12HRSe26MIN,280.78,35,2.0,5.71
12_gauge_org,292.88,48,3.0,6.25
12das,44.96,20,2.0,10.0
1300655506nigga,312.72,41,2.0,4.88
13012,1357.2,128,0.0,0.0
131312,1742.83,135,7.0,5.19
1313Lcf,2007.85,144,0.0,0.0
131467132,453.76,56,1.0,1.79
13199708,1903.8899999999999,139,0.0,0.0
1321742413,243.84,66,4.0,6.06
132413244231,376.76,43,0.0,0.0
13272310,84.97,28,0.0,0.0
13371337133713337,144.96,18,0.0,0.0
133742069174,1033.5,95,1.0,1.05
1337666133766613376661337,1397.1299999999999,113,1.0,0.88
133774553644535355354,9.99,5,0.0,0.0
1337Akraken,1153.34,110,0.0,0.0
1337_K_REW,84.95,38,2.0,5.26
1337_Speak,2630.13,269,0.0,0.0
1337hunter,618.4,67,1.0,1.49
1337leetSloth,39.97,3,0.0,0.0
1337lolroflmao,1961.79,197,9.0,4.57
1337mlg,495.53999999999996,103,0.0,0.0
1337putin,1834.02,91,4.0,4.4
1343534566,227.85,23,3.0,13.04
13457856281,317.76,42,2.0,4.76
1345adfg,0.0,8,0.0,0.0
134679jc333,64.95,17,0.0,0.0
135781,913.4399999999999,63,7.0,11.11
1373648137417,1623.95,176,0.0,0.0
137731251236671466147,5294.21,371,0.0,0.0
13971397,2844.41,222,5.0,2.25
1398199813,9.99,3,0.0,0.0
13lazer,5578.28,398,1.0,0.25
13omadragon,224.88,33,0.0,0.0
13salva,598.61,61,0.0,0.0
1408129010,244.89,31,0.0,0.0
142331415,1715.6399999999999,179,0.0,0.0
142412412124142,0.0,3,0.0,0.0
14372193,344.81,111,2.0,1.8
143865,419.76,62,0.0,0.0
1440454,638.5799999999999,70,2.0,2.86
144289919655093823,512.63,48,0.0,0.0
1452221660414,1689.93,140,4.0,2.86
14528910,0.0,1,0.0,0.0
1454235887,0.0,3,0.0,0.0
145578,1030.95,94,1.0,1.06
1456237,412.74,34,0.0,0.0
1457184935981,172.88,27,4.0,14.81
146847798098,49.97,29,0.0,0.0
14725836900,134.91,17,1.0,5.88
14747,1896.57,180,0.0,0.0
147532984,924.5,99,1.0,1.01
147751,202.85999999999999,12,0.0,0.0
14789633698741,4572.11,348,0.0,0.0
148203604,0.0,7,0.0,0.0
150010792,156.84,113,2.0,1.77
150230,1886.6,152,0.0,0.0
1513412123111331,147.85,17,0.0,0.0
151995,134.91,41,0.0,0.0
1522188745,547.62,83,0.0,0.0
1540359,75.96000000000001,14,0.0,0.0
154352,444.71999999999997,87,3.0,3.45
1546328127418,329.88,27,1.0,3.7
154930493,427.82,38,2.0,5.26
15511551,1123.09,156,4.0,2.56
155754572,114.92999999999999,21,0.0,0.0
15632897,3256.09,255,0.0,0.0
157645,4856.7,487,1.0,0.21
15832789427,1090.48,102,2.0,1.96
1591240764,377.0,101,0.0,0.0
15934,1699.12,124,4.0,3.23
159zse159,5034.75,377,1.0,0.27
1607426135,39.96,14,0.0,0.0
1626466724893520,584.68,64,9.0,14.06
163050995,0.0,13,1.0,7.69
16362426247,528.6,68,0.0,0.0
16395,59.959999999999994,11,0.0,0.0
16538,2497.72,138,4.0,2.9
16748438,274.88,21,0.0,0.0
169420666,327.73,53,1.0,1.89
17-04-2000,557.67,90,0.0,0.0
17101710,1467.82,134,8.0,5.97
1711338513531,210.85,28,0.0,0.0
171516,1561.96,196,5.0,2.55
1726432,189.96,12,0.0,0.0
17291799,154.92,19,1.0,5.26
172954833,0.0,24,0.0,0.0
173902,9.99,2,0.0,0.0
1739902091026,266.8,79,1.0,1.27
174561864923145,457.71,51,0.0,0.0
174gamecuman700kngkakak,1329.2,159,6.0,3.77
17731773,310.71,47,0.0,0.0
177652,494.76,24,0.0,0.0
17829463213,424.8,69,2.0,2.9
1800-Ricohut,1019.31,121,5.0,4.13
1800FkMyVajj,14.99,7,0.0,0.0
18023009,14.99,2,0.0,0.0
180577,583.58,66,1.0,1.52
18082001,685.27,105,3.0,2.86
18228272828,1637.11,153,4.0,2.61
